word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
dairar,21529,28733,7204,f85r1,f104v,N,T,B,B,T,S
tedair,21562,35841,14279,f85r1,f114r,N,T,B,B,T,S
ochar,21815,24098,2283,f85r2,f89v2,N,O,B,A,C,P
chdair,21845,35716,13871,f86v4,f114r,N,T,B,B,C,S
scheor,21856,23967,2111,f86v4,f89r2,N,O,B,A,C,P
octhedy,21873,28080,6207,f86v4,f104r,N,T,B,B,C,S
orchedy,21927,28913,6986,f86v4,f104v,N,T,B,B,C,S
oedy,21970,31945,9975,f86v4,f108r,N,T,B,B,C,S
saldam,22125,23775,1650,f86v6,f89r1,N,O,B,A,T,P
qckhy,22127,31946,9819,f86v6,f108r,N,T,B,B,T,S
lkeeor,22232,27677,5445,f86v6,f103v,N,T,B,B,T,S
olteody,22234,36222,13988,f86v6,f114v,N,T,B,B,T,S
orchcthy,22294,28752,6458,f86v6,f104v,N,T,B,B,T,S
kshd,22302,23132,830,f86v6,f86v3,N,N,B,B,T,C
lfchy,22499,33135,10636,f86v5,f111r,N,T,B,B,T,S
sheokaiin,22524,29827,7303,f86v5,f106r,N,T,B,B,T,S
chsky,22655,27461,4806,f86v5,f103r,N,T,B,B,T,S
olpchey,22882,25863,2981,f86v3,f99v,N,S,B,A,C,P
odeeey,22924,27516,4592,f86v3,f103r,N,T,B,B,C,S
qotchedar,22948,28853,5905,f86v3,f104v,N,T,B,B,C,S
cholkain,22987,32127,9140,f86v3,f108v,N,T,B,B,C,S
chalkar,22992,27795,4803,f86v3,f103v,N,T,B,B,C,S
shocfhy,22997,34918,11921,f86v3,f113r,N,T,B,B,C,S
dcheody,23002,23256,254,f86v3,f87v,N,O,B,A,C,H
dsheody,23008,26550,3542,f86v3,f102r1,N,S,B,A,C,P
olkechy,23023,31941,8918,f86v3,f108r,N,T,B,B,C,S
olfchey,23060,27610,4550,f86v3,f103v,N,T,B,B,C,S
ycheeody,23099,28110,5011,f86v3,f104r,N,T,B,B,C,S
cpheckhy,23163,23302,139,f87r,f87v,O,O,A,A,H,H
cheodor,23175,26668,3493,f87r,f102r2,O,S,A,A,H,P
shkeody,23194,32955,9761,f87r,f111r,O,T,A,B,H,S
